City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
255,Clearwater,US,27.9659,-82.8001,63.09,84,0,7.0,clear sky
256,Nampa,US,43.5407,-116.5635,34.48,80,0,8.05,clear sky
257,Kochevo,RU,59.5994,54.3125,14.65,95,99,7.18,overcast clouds
258,Lavrentiya,RU,65.5833,-171.0,-22.2,93,19,9.57,few clouds
259,Ballina,AU,-28.8667,153.5667,81.79,62,0,9.51,clear sky
260,Constantine,DZ,36.365,6.6147,51.21,62,20,16.11,few clouds
261,Kaitangata,NZ,-46.2817,169.8464,61.97,75,5,9.15,clear sky
262,Grand Gaube,MU,-20.0064,57.6608,83.37,71,99,15.01,overcast clouds
263,Iqaluit,CA,63.7506,-68.5145,-7.31,69,100,0.0,light snow
264,Victor Harbor,AU,-35.5667,138.6167,64.0,67,97,3.0,overcast clouds
265,Cagliliog,PH,13.9016,123.2913,75.9,93,100,13.44,moderate rain
266,Pangody,RU,65.85,74.4859,2.7,96,98,9.17,light snow
267,Tarapur,IN,19.85,72.7,77.11,34,3,1.48,clear sky
268,Zhaotong,CN,27.3167,103.7167,36.25,48,84,2.24,broken clouds
269,Muisne,EC,0.6,-80.0333,75.33,84,100,8.39,overcast clouds
270,Litovko,RU,49.2361,135.1742,-2.9,79,6,3.15,clear sky
271,Porto Novo,BJ,6.4965,2.6036,76.82,88,56,3.02,broken clouds
272,Choszczno,PL,53.169,15.4205,29.23,88,100,4.65,overcast clouds
273,Ndele,CF,8.4109,20.6473,71.42,26,100,6.35,overcast clouds
274,Ust-Ordynskiy,RU,52.805,104.7508,-5.13,87,99,18.79,overcast clouds
275,Ranong,TH,9.9658,98.6348,87.73,55,54,3.18,broken clouds
276,Urupes,BR,-21.2017,-49.29,70.93,89,90,4.25,overcast clouds
277,Guerrero Negro,MX,27.9769,-114.0611,57.56,59,20,15.21,few clouds
278,Vytegra,RU,61.0064,36.4481,31.46,89,100,14.0,overcast clouds
279,Namtsy,RU,62.7161,129.6658,-53.52,97,99,1.39,overcast clouds
280,Along,IN,28.1667,94.7667,69.28,39,16,0.74,few clouds
281,Ginir,ET,7.1333,40.7,64.99,32,44,4.07,scattered clouds
282,Carutapera,BR,-1.195,-46.02,73.33,94,98,4.18,overcast clouds
283,Yarmouth,US,41.7057,-70.2286,44.96,79,100,9.22,overcast clouds
284,Chuy,UY,-33.6971,-53.4616,67.53,82,0,7.76,clear sky
285,Palmer,US,42.1584,-72.3287,40.26,71,100,3.44,overcast clouds
286,Redlands,US,34.0556,-117.1825,46.26,79,0,4.61,clear sky
